ra,dec,phot_g_mean_mag,bp_rp
250.45249476557822,36.39954758804267,15.645548,-0.002415657
250.45775671686496,36.40699830860847,18.060984,0.6595173
250.43565718097202,36.40182954259313,17.959751,0.56448936
250.43216854753607,36.39222609220325,17.566452,0.8156719
250.4445055978874,36.406722068525,18.494396,0.6854553
250.44189490335765,36.41168859974975,18.04129,0.629467
250.4737945093934,36.4221100848881,17.221909,0.9012127
250.4712945563453,36.424391200464925,16.809553,
250.4695367813735,36.42268332903886,18.11281,0.6512108
250.46367674652964,36.421823183820464,17.212837,0.8910084
250.46073375476342,36.421084193781184,17.27612,0.8732109
250.45604757897385,36.434043561366224,18.1473,0.7051163
250.44849955244976,36.42278495963083,18.118874,0.7167206
250.45931290789278,36.422855655659035,18.146435,0.6614914
250.45552099918658,36.420084178503764,13.431074,1.1358166
250.46891412264068,36.44097094209725,16.389364,0.9214897
250.47362501210554,36.435906487988646,17.91982,0.6761875
250.47208315232484,36.43831561224682,18.479906,0.18509102
250.46109181506475,36.433237556550814,18.178343,0.65554047
250.46584819042505,36.44135741385181,18.474075,
250.4608351875979,36.440461335512595,16.054626,
250.4295207803798,36.410160550523095,17.658182,0.7646313
250.42144063537498,36.414515425124705,17.744692,0.7088318
250.42004047706055,36.41420634256531,18.25243,0.71360016
250.41458669166389,36.4118843023077,17.681227,0.8554745
250.42115672100488,36.40930622466759,15.926897,-0.08390522
250.43943781457355,36.418532435900175,18.08143,0.7410202
250.4365303686514,36.43002402802022,17.779705,0.20576859
250.42795671976478,36.42731507406462,18.326212,0.8188076
250.4331780665337,36.43194175296709,15.884799,0.9143419
250.43274836123487,36.43067962843659,18.337973,0.7026272
250.41803299985642,36.42038100455997,17.777908,0.7882862
250.4060263881931,36.42145065775558,15.189877,0.1575489
250.4055521316162,36.42859344536385,17.792429,0.7842407
250.40947091428433,36.42571078474807,14.835667,1.040513
250.419485884417,36.438887285096655,13.624734,0.8233309
250.42039197085256,36.4281347727665,16.27361,0.9393492
250.42499829137896,36.42910779200441,16.452494,0.7084503
250.42342175489037,36.42583750180836,17.967577,
250.4231684037066,36.4246484356002,17.1847,0.81674767
250.42751002263935,36.43260997477756,17.49254,0.8180332
250.42734712839203,36.43126255018168,17.558962,
250.41693747441707,36.43762770316095,16.389997,0.20380306
250.41879908527028,36.436003829900706,17.937454,0.7484722
250.4152679422507,36.43486630347505,17.74919,
250.42027471720743,36.4421033074086,17.92624,
250.41953303382326,36.44300630419918,18.309023,
250.4272840474751,36.43197266466328,18.391865,
250.41919031619233,36.43792502875321,17.562775,0.778677
250.42036340818214,36.441322204956364,17.25324,0.8705578
250.42215432368207,36.438022893671935,18.119934,0.87716484
250.44798017769745,36.433196045734284,18.152401,0.9984894
250.4465708779234,36.43149874944327,17.699533,0.76791
250.44793035466034,36.43170282568715,18.017721,0.70866776
250.4485899369264,36.436818190091095,18.464022,
250.4469762537039,36.43378206367055,18.392904,0.8454838
250.44047158485088,36.4292851451775,17.432467,0.811779
250.44515011671328,36.44308860882262,16.077087,0.7807665
250.43894309123755,36.43588586466814,18.022305,
250.44298057785258,36.44101138410737,18.031656,0.83270645
250.4407862695144,36.44103516129803,18.433123,
250.44133183791453,36.435825735360304,16.076658,1.1356039
250.44460743536578,36.44234893921053,15.033323,0.9537029
250.455488511349,36.43618347140346,18.134592,0.70882225
250.4539816577078,36.4398673765116,17.813608,0.776844
250.4519432771726,36.44112546783159,16.74161,0.8079424
250.4515158715696,36.44038439505377,18.446878,
